Clean_Player,Team,G,A,Pts,plus_minus,Sh,PIM,Games_Played
Ryan Healey,Harvard,9,13,22,-26,73,12,29
Ryan Helliwell,Notre Dame,0,0,0,0,2,17,9
Ryan Hopkins,Maine,1,2,3,0,20,8,24
Ryan King,Stonehill,0,0,0,-7,3,8,12
Ryan Kirwan,Penn State,13,13,26,7,161,10,36
Ryan Lautenbach,Massachusetts,10,14,24,2,73,29,37
Ryan Leonard,Boston College,31,29,60,36,168,38,41
Ryan Mahshie,Connecticut,2,3,5,-3,28,4,21
Ryan Mansfield,Bentley,7,11,18,7,46,2,31
Ryan McGuire,Colgate,14,12,26,5,86,31,34
Ryan Miotto,Vermont,9,8,17,-8,59,18,35
Ryan Naumovski,Augustana,8,17,25,0,61,0,34
Ryan Nause,Bentley,1,6,7,-1,27,12,23
Ryan Nicholson,RIT,0,9,9,11,29,22,40
Ryan O'Hara,Bowling Green,10,8,18,-2,85,12,26
Ryan O'Neill,St. Thomas,7,19,26,-1,71,12,35
Ryan O'Reilly,Arizona State,9,6,15,10,61,18,37
Ryan Ouellette,Niagara,0,0,0,0,0,0,8
Ryan Richardson,Clarkson,7,16,23,7,62,12,35
Ryan Rosborough,St. Cloud State,3,2,5,-10,33,19,20
Ryan Shostak,Brown,3,2,5,-9,30,4,30
Ryan Siedem,Notre Dame,3,17,20,16,51,12,36
Ryan Sorkin,Dartmouth,1,3,4,-10,36,32,31
Ryan St. Louis,Brown,13,11,24,-8,62,4,30
Ryan Stevens,Yale,0,0,0,-2,3,0,2
Ryan Sullivan,Colgate,6,7,13,6,56,16,35
Ryan Sullivan,Miami,5,4,9,-8,41,12,29
Ryan Tattle,Connecticut,4,8,12,-8,53,22,34
Ryan Taylor,Clarkson,10,6,16,5,55,4,24
Ryan Ufko,Massachusetts,10,16,26,4,93,14,37
Ryan Upson,Bentley,6,6,12,5,39,8,27
Ryan Walsh,Cornell,12,10,22,5,73,21,35
Ryder Donovan,St. Thomas,1,0,1,2,4,4,3
Rylan Mosley,Michigan Tech,18,15,33,2,144,10,40
Rylan Van Unen,Northern Michigan,4,6,10,-5,56,55,33
Rylee Hlusiak,Sacred Heart,0,2,2,-6,21,10,25
Rylee St. Onge,Robert Morris,11,9,20,-18,102,45,38
Salvatore Evola,Bowling Green,0,0,0,0,0,0,3
Salvatore Guzzo,Harvard,0,4,4,-10,16,10,29
Sam Brennan,Air Force,3,4,7,3,36,16,36
Sam Colangelo,Western Michigan,24,19,43,19,159,23,38
Sam Deckhut,Ohio State,3,3,6,-3,16,2,29
Sam Harris,Denver,14,7,21,13,86,27,42
Sam Jacobs,Air Force,0,0,0,0,0,0,1
Sam Lipkin,Quinnipiac,15,20,35,15,98,37,39
Sam Morton,Minnesota State,24,10,34,8,151,10,37
Sam Rinzel,Minnesota,2,26,28,23,75,20,39
Sam Stange,Wisconsin,0,0,0,-2,3,4,7
Sam Stevens,Boston University,10,7,17,15,80,34,40
Samu Salminen,Connecticut,7,10,17,3,74,35,35
Samuel Duerr,Bentley,6,7,13,-11,70,12,35
Samuel Sjolund,Western Michigan,3,15,18,-1,84,10,38
Samuli Niinisaari,Massachusetts,3,9,12,2,36,4,27
Sasha Teleguine,Lake Superior,2,1,3,-6,40,29,34
Sawyer Scholl,Wisconsin,6,2,8,7,51,20,33
Scooter Brickey,Ohio State,13,13,26,-10,92,32,37
Scott Morrow,Massachusetts,6,24,30,3,113,25,37
Scout Truman,Mass.-Lowell,7,14,21,2,95,18,35
Seamus Casey,Michigan,7,38,45,4,101,14,40
Sean Behrens,Denver,4,27,31,25,69,53,44
Sean Chisholm,Dartmouth,8,9,17,9,72,11,28
Sean Donaldson,Cornell,0,0,0,-1,12,0,10
Sean James,Mercyhurst,0,1,1,-1,10,0,8
Sean Kilcullen,Mass.-Lowell,0,2,2,-9,25,25,27
Sean Vlasich,Army,0,3,3,-10,23,6,28
Sebastian Tamburro,Colgate,1,4,5,4,12,4,13
Sebastian Törnqvist,Massachusetts,0,3,3,1,11,8,14
Seiya Tanaka-Campbell,Yale,0,0,0,0,0,0,3
Seth Bernard-Docker,Bentley,0,6,6,-3,18,4,16
Seth Eisele,Omaha,0,0,0,0,0,0,8
Seth Fyten,Bowling Green,7,6,13,3,42,37,26
Shai Buium,Denver,7,29,36,33,63,14,43
Shane Lachance,Boston University,13,14,27,15,94,12,40
Shane Lavelle,Lindenwood,1,0,1,0,7,2,7
Shane Ott,Niagara,5,15,20,3,93,25,38
Shawn O'Donnell,Mass.-Lowell,0,1,1,-1,5,6,10
Shay Donovan,Augustana,2,6,8,-7,37,14,32
Simon Bucheler,Mercyhurst,0,0,0,0,0,0,8
Simon Falk,Augustana,0,7,7,-3,38,4,26
Simon Isabelle,RIT,8,10,18,3,56,29,39
Simon Jellus,Vermont,6,4,10,-5,62,2,30
Simon Labelle,Colgate,7,20,27,-5,66,17,36
Simon Latkoczy,Omaha,0,0,0,0,0,0,34
Simon Mack,Penn State,4,12,16,3,47,0,36
Simon Tassy,Wisconsin,12,16,28,12,99,47,40
Spence Evans,Brown,0,0,0,0,3,0,9
Spencer Cox,Miami,1,7,8,-9,45,16,30
Spencer Kersten,Bowling Green,9,7,16,-8,83,8,36
Spencer Schneider,Bowling Green,0,0,0,-3,11,0,12
Spencer Smith,Mercyhurst,3,5,8,4,26,0,34
Stanley Cooley,Colorado College,5,9,14,1,57,14,37
Stefan Owens,Mass.-Lowell,1,1,2,-6,29,2,34
Stefano Bottini,Canisius,4,6,10,1,31,10,23
Stepan Pokorny,Ferris State,8,10,18,-13,66,26,36
Stephen Castagna,Bentley,6,21,27,4,89,37,35
Stephen Halliday,Ohio State,10,26,36,-2,104,30,38
Stephen Willey,Army,1,1,2,-7,22,0,20
Steven Agriogianis,Mercyhurst,6,17,23,-16,60,8,35
Steven Bacovsky,Merrimack,0,0,0,0,0,0,1
Steven Bellini,Minnesota State,3,8,11,4,29,20,31
Steven Holtz,Michigan,0,5,5,9,21,35,38
Steven Townley,Dartmouth,2,4,6,-5,35,10,32
Stiven Sardaryan,New Hampshire,7,7,14,-4,48,12,32
Sullivan Mack,Cornell,7,10,17,6,44,2,29
Sully Scholle,Maine,7,4,11,1,58,10,33
Sutter Muzzatti,Rensselaer,10,15,25,-15,49,79,33
T.J. Hughes,Michigan,19,29,48,11,115,27,41
T.J. Lloyd,Alaska,3,16,19,0,66,33,34
T.J. Semptimphelter,Arizona State,0,1,1,0,0,2,26
TJ Schweighardt,Mass.-Lowell,1,3,4,-10,39,8,33
TJ Walsh,Sacred Heart,13,13,26,-12,71,6,36
Tabor Heaslip,Connecticut,1,7,8,-5,62,16,36
Taige Harding,Providence,2,6,8,-5,44,12,34
Talon Sigurdson,Clarkson,1,1,2,-4,17,10,25
Tanner Adams,Providence,6,15,21,1,63,6,35
Tanner Andrew,RIT,6,15,21,6,78,10,38
Tanner Edwards,Minnesota State,0,0,0,-1,2,4,5
Tanner Kelly,Michigan State,9,9,18,13,64,34,35
Tanner Klimpke,Robert Morris,15,11,26,-7,70,14,37
Tanner Komzak,North Dakota,0,0,0,2,1,0,4
Tanner Latsch,Northern Michigan,7,1,8,-6,22,6,8
Tanner Ludtke,Omaha,11,17,28,11,85,28,40
Tanner Main,Bentley,0,1,1,-3,16,10,13
Tanner Palocsik,Penn State,2,14,16,-1,57,8,36
Tanner Rowe,Michigan,1,0,1,-3,19,24,25
Tanyon Bajzer,Miami,0,2,2,-4,6,0,12
Taylor Makar,Massachusetts,4,5,9,2,37,22,36
Teddy Lagerbäck,Miami,1,1,2,-5,15,12,21
Teddy Wooding,Yale,1,6,7,-6,27,8,21
Theo Angesved,American Int'l,2,2,4,-3,34,2,15
Theo Wallberg,Ohio State,2,19,21,-10,30,16,38
Thomas Daskas,Miami,3,4,7,-9,34,21,36
Thomas Freel,Maine,6,16,22,4,67,8,37
Thomas Gale,Holy Cross,0,0,0,0,0,0,19
Thomas Haynes,Robert Morris,0,0,0,-5,6,4,12
Thomas Jarman,Boston University,0,0,0,0,0,0,1
Thomas Manty,Brown,2,1,3,-5,21,4,18
Thomas Richter,Union,1,0,1,1,2,0,2
Thomas Sinclair,Vermont,5,4,9,1,35,8,32
Thomas Weis,Ohio State,4,7,11,-3,48,33,37
Tiernan Shoudy,Michigan State,4,12,16,3,55,26,38
Tim Lovell,Arizona State,5,32,37,10,44,48,36
Tim Piechowski,St. Thomas,3,1,4,-7,21,4,20
Tim Rego,Cornell,2,8,10,21,37,14,35
Tim Washe,Western Michigan,2,10,12,-5,59,27,38
Timo Bakos,Lake Superior,9,15,24,-3,55,6,38
Timofei Khokhlachev,American Int'l,3,2,5,4,13,14,12
Timofei Spitserov,Vermont,7,7,14,-11,73,6,35
Timothy Heinke,Quinnipiac,0,1,1,1,5,0,6
Tobias Abrahamsson,St. Thomas,0,3,3,1,6,0,37
Tom Gangl,Robert Morris,0,1,1,4,13,6,22
Tom Messineo,Connecticut,0,11,11,8,30,2,36
Tom Willander,Boston University,4,21,25,28,38,12,38
Tomi Leppanen,American Int'l,3,6,9,8,63,39,40
Tommi Männistö,Michigan State,1,9,10,5,42,39,32
Tommy Bannister,Mercyhurst,3,7,10,-6,31,4,27
Tommy Bergsland,Colgate,5,21,26,-1,50,16,36
Tommy Lyons,Harvard,0,0,0,-11,20,2,29
Tommy Middleton,Colorado College,4,4,8,-4,52,8,36
Tommy Pasanen,Bowling Green,1,6,7,-12,49,20,29
Tommy Scarfone,RIT,0,0,0,0,0,0,36
Tomáš Mazura,St. Lawrence,6,14,20,-5,53,12,34
Tony Achille,Arizona State,0,3,3,1,13,7,12
Tony Andreozzi,Brown,2,3,5,-1,36,6,30
Tony Follmer,Bemidji State,1,4,5,5,23,19,28
Tony Malinowski,Minnesota State,0,4,4,2,9,4,13
Travis Shoudy,Ferris State,4,17,21,-8,83,14,36
Travis Treloar,Quinnipiac,12,12,24,8,71,14,30
Trent Burnham,Lindenwood,0,0,0,0,0,2,27
Trent Sambrook,Mercyhurst,3,10,13,-2,29,14,28
Trevor Bishop,Western Michigan,0,0,0,-3,6,0,10
Trevor Griebel,Merrimack,2,4,6,6,12,6,19
Trevor Janicke,Notre Dame,9,7,16,6,82,16,32
Trevor Kukkonen,Michigan Tech,0,0,0,0,1,2,2
Trevor Ledonne,Robert Morris,0,1,1,-2,31,43,29
Trevor Russell,Michigan Tech,0,7,7,6,33,30,38
Trevor Smith,Army,1,1,2,-13,13,2,12
Trevor Taulien,Ferris State,2,6,8,-8,30,20,27
Trey Augustine,Michigan State,0,1,1,0,1,0,35
Trey Funk,Canisius,7,6,13,-2,50,6,34
Trey Taylor,Clarkson,4,13,17,20,86,27,35
Tristan Amonte,Boston University,0,0,0,0,4,0,8
Tristan Broz,Denver,16,24,40,20,88,13,43
Tristan Fraser,Connecticut,7,4,11,-1,27,33,35
Tristan Lemyre,Denver,2,4,6,3,16,0,24
Tristan Sarsland,Clarkson,5,7,12,8,57,14,34
Trym Lokkeberg,Dartmouth,1,0,1,-5,10,8,31
Tucker Hartmann,Yale,0,1,1,-1,4,6,10
Tucker Hodgson,Bentley,1,4,5,3,32,22,35
Tucker McIntosh,St. Lawrence,0,5,5,-2,32,12,34
Tucker McRae,Dartmouth,3,4,7,-10,23,14,27
Tucker Ness,Arizona State,0,2,2,1,8,60,18
Ty Daneault,Merrimack,13,8,21,-5,88,33,34
Ty Gagno,Holy Cross,3,10,13,7,64,16,33
Ty Gallagher,Boston University,0,5,5,3,24,14,37
Ty Jackson,Arizona State,6,12,18,6,46,14,21
Ty Mueller,Omaha,11,15,26,9,102,33,40
Ty Murchison,Arizona State,3,4,7,7,46,62,37
Ty Naaykens,St. Lawrence,7,7,14,-11,60,45,39
Tyler Carpenter,Notre Dame,5,4,9,1,35,16,33
Tyler Catalano,Cornell,1,4,5,-1,19,14,24
Tyler Coffey,Colorado College,5,0,5,-2,47,10,24
Tyler Cristall,St. Lawrence,7,9,16,-12,78,12,39
Tyler DesRochers,Mercyhurst,0,2,2,-9,17,10,21
Tyler Duke,Michigan,2,14,16,12,59,50,38
Tyler Dunbar,Colorado College,1,0,1,1,19,8,17
Tyler Fukakusa,RIT,9,19,28,19,58,18,39
Tyler Gaulin,Mercyhurst,0,0,0,-4,6,8,8
Tyler Ghirardosi,Holy Cross,14,13,27,13,109,23,39
Tyler Gratton,Arizona State,12,6,18,-7,68,18,36
Tyler Haskins,Minnesota State,4,2,6,0,18,2,18
Tyler Hotson,Rensselaer,13,9,22,-3,64,32,37
Tyler Kopff,Brown,6,12,18,-4,94,16,30
Tyler Mahan,RIT,6,7,13,10,44,16,35
Tyler Muszelik,New Hampshire,0,0,0,0,0,0,8
Tyler Nasca,Mercyhurst,0,1,1,-4,10,6,24
Tyler Paquette,Penn State,6,3,9,-14,53,8,27
Tyler Rollwagen,Omaha,3,5,8,1,20,30,38
Tyler Rubin,Princeton,4,9,13,2,38,22,30
Tyler Schleppe,Ferris State,3,7,10,-6,44,11,25
Tyler Shea,Brown,0,0,0,0,0,0,10
Tyler Spott,Sacred Heart,1,4,5,-4,26,16,27
Tyler Wallace,Niagara,13,17,30,2,64,17,39
Tyler Watkins,Union,8,8,16,-1,67,4,36
Tyler Williams,Lake Superior,3,0,3,-9,35,6,21
Tyler Young,Merrimack,0,1,1,-4,21,25,12
Tynan Ewart,St. Cloud State,0,5,5,7,8,2,19
Tyrell Boucher,Northern Michigan,0,1,1,-4,13,4,21
Tyrone Bronte,Michigan Tech,6,8,14,0,46,23,35
Tyson Dyck,Wisconsin,0,9,9,13,32,21,28
Tyson Gross,St. Cloud State,7,13,20,2,63,16,34
Tyson Jugnauth,Wisconsin,0,2,2,-2,15,8,13
Uula Ruikka,Augustana,5,9,14,-6,82,30,29
Valtteri Piironen,Long Island,3,9,12,-3,37,18,29
Veeti Miettinen,St. Cloud State,20,15,35,4,128,0,37
Verner Miettinen,St. Cloud State,4,19,23,-3,52,8,38
Victor Czerneckianair,Quinnipiac,7,7,14,12,53,12,39
Victor Mancini,Omaha,4,6,10,7,78,8,40
Victor Ostman,Maine,0,0,0,0,0,0,21
Viking Gustafsson Nyberg,Northern Michigan,2,1,3,0,25,24,33
Viktor Hurtig,Michigan State,1,1,2,1,9,6,9
Ville Immonen,Union,8,16,24,-6,55,18,36
Vince Corcoran,Bemidji State,2,9,11,-14,32,14,34
Vincent Salice,Army,4,6,10,-4,57,12,34
Vinny Borgesi,Northeastern,5,23,28,7,76,10,34
Vinny Duplessis,Quinnipiac,0,0,0,0,0,0,30
Walter Zacher,Robert Morris,5,17,22,-6,82,22,33
Warren Clark,St. Cloud State,0,3,3,-6,15,8,31
Will Arquiett,St. Lawrence,0,3,3,-5,22,12,30
Will Gavin,Air Force,19,17,36,-12,133,24,38
Will Gilson,Alaska-Anchorage,3,12,15,4,82,67,34
Will Hambley,Alaska,0,0,0,0,0,0,4
Will Hilfiker,Alaska,1,0,1,6,8,15,12
Will Hillman,Minnesota State,2,3,5,0,44,12,36
Will Howard,Augustana,4,5,9,-6,40,6,25
Will Magnuson,Bemidji State,0,5,5,3,32,16,32
Will Margel,Mercyhurst,6,13,19,-7,63,10,31
Will Richter,Yale,1,1,2,-7,11,0,14
Will Smith,Boston College,25,46,71,25,130,14,41
Will Staring,Air Force,1,8,9,-3,33,20,33
Will Svenddal,Augustana,0,2,2,-4,7,8,19
Will Traeger,Boston College,0,0,0,-1,2,2,8
Will Vote,Boston College,1,7,8,2,15,4,20
Will Zapernick,Vermont,3,9,12,-4,66,14,35
William Dineen,Yale,7,2,9,-4,42,27,20
William Elias,Holy Cross,0,0,0,0,0,0,1
William Gramme,Wisconsin,0,0,0,0,0,0,4
William Hakansson,Lake Superior,0,0,0,0,0,0,5
William Hallén,Miami,3,7,10,-10,32,8,23
William Lawson-Body,Alaska,1,4,5,4,15,15,10
William Smith,Ohio State,1,4,5,2,44,22,32
William Tripp,Stonehill,0,7,7,-19,15,21,24
William Troutwine,Holy Cross,0,2,2,5,8,2,18
William Whitelaw,Wisconsin,10,7,17,3,123,17,37
Winter Wallace,Cornell,1,1,2,-2,15,12,24
Wyatt Schingoethe,Western Michigan,0,4,4,4,27,2,24
Wyatt Schlaht,Brown,1,0,1,-2,2,0,10
Xan Gurney,Long Island,1,2,3,4,6,36,12
Xander Lamppa,Penn State,3,13,16,-3,85,40,35
Xavier Henry,Vermont,1,1,2,0,11,22,22
Xavier Jean-Louis,Alaska,2,2,4,6,20,20,26
Xavier Lapointe,RIT,2,8,10,12,37,29,28
Zaccharya Wisdom,Colorado College,10,10,20,7,56,22,33
Zach Bookman,Merrimack,4,24,28,-13,51,30,33
Zach Dubinsky,Vermont,2,9,11,3,30,20,30
Zach Faremouth,Ferris State,6,6,12,-3,55,24,34
Zach Hahn,New Hampshire,0,0,0,0,0,0,1
Zach Krajnik,Minnesota State,1,6,7,4,25,2,27
Zach Michaelis,Northern Michigan,0,3,3,-1,4,2,9
Zach Okabe,St. Cloud State,10,14,24,-4,87,21,38
Zach Plucinski,Notre Dame,0,4,4,5,29,41,36
Zach Sandy,Minnesota-Duluth,0,0,0,0,0,0,1
Zach Schulz,Wisconsin,2,4,6,3,24,6,34
Zach Stejskal,Minnesota-Duluth,0,0,0,0,0,0,20
Zach Tupker,Quinnipiac,6,15,21,20,72,24,39
Zach Urdahl,Omaha,13,12,25,3,77,4,34
Zachary Aughe,Lindenwood,3,7,10,-7,40,39,28
Zachary Borgiel,Merrimack,0,0,0,0,0,2,16
Zachary Nazzarett,Long Island,3,9,12,1,30,4,19
Zack Rose,Augustana,0,1,1,0,0,0,15
Zackary Tonelli,Brown,1,2,3,-11,19,6,30
Zak Galambos,Western Michigan,9,12,21,16,97,39,38
Zakary Karpa,Harvard,4,4,8,-8,37,6,31
Zane Demsey,Miami,1,3,4,-2,19,25,26
Zeev Buium,Denver,11,39,50,33,75,20,42
