Clean_Player,Team,G,A,Pts,plus_minus,Sh,PIM,Games_Played
Brock Bremer,Omaha,8,12,20,1,81,46,40
Brody Gagno,Holy Cross,0,3,3,4,15,14,38
Brody Lamb,Minnesota,12,15,27,-1,73,6,39
Brody Waters,Bowling Green,6,9,15,-8,43,25,34
Broten Sabo,Alaska,1,2,3,7,27,10,28
Bruno Bruveris,Miami,0,0,0,0,0,0,15
Bryan Huggins,Lake Superior,0,4,4,-4,20,6,30
Bryce Brodzinski,Minnesota,14,22,36,21,106,18,39
CJ Foley,Dartmouth,5,15,20,5,87,10,32
CJ McGee,Quinnipiac,2,7,9,15,33,33,39
CJ Regula,Rensselaer,2,5,7,-3,45,22,29
Cade Ahrenholz,Alaska,5,0,5,-4,27,10,23
Cade Alami,Arizona State,0,2,2,-2,10,16,14
Cade DeStefani,Lindenwood,2,2,4,1,15,6,9
Cade Mason,Long Island,2,25,27,-6,60,8,32
Cade Neilson,Alaska,5,14,19,8,52,22,31
Cade Townend,Robert Morris,4,10,14,-6,76,26,38
Cade Webber,Boston University,0,6,6,15,22,30,38
Caden Brown,Ohio State,4,6,10,-4,27,6,24
Caden Lewandowski,Clarkson,0,1,1,-2,6,4,12
Caden Villegas,Union,12,18,30,-12,76,4,37
Caiden Gault,Ferris State,2,3,5,-5,31,4,19
Caige Sterzer,Lindenwood,8,14,22,-6,59,35,28
Cal Kiefiuk,Providence,2,8,10,-1,41,24,25
Cal Mell,Union,0,7,7,-4,11,12,35
Cal Thomas,Minnesota,1,9,10,12,36,8,38
Cale Ashcroft,Denver,1,6,7,-2,34,4,37
Caleb Huffman,Alaska-Anchorage,0,1,1,-7,27,57,30
Caleb MacDonald,Alaska,4,10,14,13,38,38,31
Caleb Moretz,RIT,1,5,6,4,39,8,39
Caleb Price,Lindenwood,4,6,10,-3,56,6,27
Callum Gau,Augustana,2,3,5,-6,25,20,28
Cam Gendron,New Hampshire,1,2,3,2,9,2,10
Cam Johnson,Harvard,4,12,16,1,47,4,32
Cam Knuble,Western Michigan,0,1,1,0,16,4,28
Cam Kungle,Lake Superior,1,8,9,1,21,33,37
Cam Lund,Northeastern,11,19,30,-7,91,22,35
Cam MacDonald,Dartmouth,4,9,13,4,49,8,31
Cam Mannion,Stonehill,0,0,0,-20,8,8,17
Cam McDonald,Providence,1,6,7,5,23,8,29
Cam Mitchell,Omaha,0,1,1,0,13,4,13
Cam O'Neill,Massachusetts,3,4,7,0,26,23,28
Cam Thiesing,Ohio State,9,7,16,-9,111,55,31
Cameron Berg,North Dakota,20,17,37,7,116,8,40
Cameron Buhl,St. Lawrence,4,2,6,-7,53,6,26
Cameron Collins,Stonehill,0,1,1,-11,9,2,17
Cameron Garvey,Robert Morris,11,3,14,0,60,19,37
Cameron Gaudette,Stonehill,1,3,4,-34,21,36,33
Cameron Hebert,Robert Morris,2,5,7,-3,35,20,33
Cameron Recchi,St. Thomas,1,0,1,-3,3,2,5
Cameron Ricotta,Mercyhurst,1,1,2,2,6,0,5
Cameron Rowe,Western Michigan,0,0,0,0,0,0,38
Cameron Whitehead,Northeastern,0,0,0,0,0,2,35
Campbell Cichosz,Minnesota State,1,3,4,1,44,8,36
