PLAYER,2023/24 TEAM,GP,G,A,P,POS.,YR.,HOMETOWN,STATE/COUNTRY,HT/WT,DESTINATION TEAM,NOTABLE INFO,23/24 CONFERENCE,NEW CONFERENCE,DATE ADDED TO LIST
Owen Say,Mercyhurst ,31,3.22,0.913,8,G,So.,"London, ON",Canada,6'2 / 185,Notre Dame,,Atlantic,Big 10,3/31/2024
Axel Kumlin,Miami,34,2,9,11,D,So.,Stockholm,Sweden,6'1 / 194,Notre Dame,,NCHC,Big 10,3/29/2024
Blake Biondi,Minnesota Duluth,34,8,11,19,F,Sr.,Hermantown,Minnesota,6'1 / 198,Notre Dame,2020 4th round pick of MTL.,NCHC,Big 10,3/20/2024
Ian Murphy,Princeton,25,11,12,23,F,Sr.,Scituate,Massachusetts,5'11 / 176,Notre Dame,,ECAC,Big 10,3/15/2024
Riley Thompson,Alaska-Anchorage,34,9,15,24,F,Fr.,"Orleans, ON",Canada,6'4 / 201,Ohio State,,Independent,Big 10,4/16/2024
Gunnarwolfe Fontaine,Northeastern,36,8,19,27,F,Sr.,East Greenwich,Rhode Island,5'8 / 174,Ohio State,2020 7th round pick of NSH.,Hockey East,Big 10,3/19/2024
Aiden Hansen-Bukata,RIT,37,5,26,31,D,Sr.,"Vancouver, BC",Canada,6'0 / 179,Ohio State,,Atlantic,Big 10,4/15/2024
Brady Risk,Alaska,33,13,20,33,F,Jr.,"Medicine Hat, AB",Canada,5'9 / 175,Omaha,UAF leading scorer. ,Independent,NCHC,3/25/2024
Harrison Israels,Alaska,33,20,6,26,F,Sr.,"Mississauga, ON",Canada,6'2 / 205,Omaha,,Independent,NCHC,3/29/2024
Garrett Pinoniemi,Minnesota,35,1,2,3,F,So.,Robbinsdale,Minnesota,6'0 / 170,Omaha,,Big 10,NCHC,4/3/2024
Aiden Gallacher,Northern Michigan,34,3,5,8,D,Sr.,Rochester Hills,Michigan,6'1 / 190,Omaha,Two-time transfer. Also played at Michigan State.,CCHA,NCHC,3/18/2024
Dylan Gratton,Penn State,36,3,10,13,D,So.,Pottstown,Pennsylvania,6'0 / 181,Omaha,,Big 10,NCHC,4/8/2024
Sam Stange,Wisconsin,7,0,0,0,F,Sr.,Eau Claire,Wisconsin,6'1 / 201,Omaha,2020 4th round pick of DET.,Big 10,NCHC,4/2/2024
Tyler Paquette,Penn State,27,6,3,9,F,Sr.,Collegeville,Pennsylvania,6'3 / 201,Penn State,Entered portal but is opting to return to Penn State.,Big 10,Big 10,3/22/2024
Arsenii Sergeev,UConn,16,2.7,0.913,8,G,So.,Yaroslavl,Russia,6'3 / 192,Penn State,2021 7th round pick of CGY.,Hockey East,Big 10,4/1/2024
Levi Glasman,Colgate,33,1,5,6,F,Sr.,"Minnedosa, MB",Canada,6'2 / 174,PRO - Belgium,,ECAC,PRO,3/21/2024
Stepan Pokorny,Ferris State,36,8,10,18,F,Sr.,Kolin,Czechia,5'11 / 185,PRO - Czechia,,CCHA,PRO,4/4/2024
Nico Somerville,AIC,40,4,5,9,D,Sr.,"Port Alberni, BC",Canada,5'9 / 185,PRO - ECHL,,Atlantic,PRO,4/17/2024
Kabore Dunn,Lindenwood,22,0,11,11,D,Sr,"Mill Bay, BC",Canada,6'2 / 179,PRO - ECHL,Two-time transfer. Also played at Maine.,Independent,PRO,3/18/2024
Austen Swankler,Michigan Tech,10,0,3,3,F,Jr.,North Huntingdon,Pennsylvania,6'0 / 185,PRO - ECHL,Two-time transfer. Also played at Bowling Green.,CCHA,PRO,4/1/2024
Christian Berger,Penn State,30,2,4,6,D,Sr.,St. Louis,Missouri,6'0 / 194,PRO - ECHL,,Big 10,PRO,5/8/2024
Ryan Conroy,Yale,30,2,11,13,D,Sr.,"Chestermere, AB",Canada,5'9 / 174,PRO - ECHL,,ECAC,PRO,3/15/2024
Michael Kennedy,Princeton,30,2,3,5,D,Sr.,Holyoke,Massachusetts,6'1 / 190,PRO - England,,ECAC,PRO,3/15/2024
Akseli Pennanen,AIC,7,0,1,1,F,Fr.,Espoo,Finland,6'3 / 198,PRO - Finland,,Atlantic,PRO,4/5/2024
Zach Stejskal,Minnesota Duluth,20,3,0.898,8,G,Sr.,Cohasset,Minnesota,6'5 / 218,PRO - Finland,Stejskal entered the portal but withdrew his name. ,NCHC,PRO,4/9/2024
Carson Kosobud,Alaska-Anchorage,33,1,7,8,D,Jr.,Moorhead,Minnesota,6'0 / 190,PRO - France,Two-timer transfer. Also played at ASU.,Independent,PRO,4/1/2024
Reilly Moran,St. Lawrence,34,2,6,8,F,Sr.,Hingham,Massachusetts,5'11 / 176,PRO - France,,ECAC,PRO,3/27/2024
