Date,Conference,Game_Notes,Away_Team,Away_Team_Link,Away_Score,Home_Team,Home_Team_Link,Home_Score,OT,Box_Link,Metrics_Link,Day,Game_ID
2024-10-11,Non-Conference,,Michigan,/reports/team/Michigan/31,4,Arizona State,/reports/team/Arizona-State/61,1,,/box/final/20241011/mic/asu/,/box/metrics.php?gd=99880,Friday,2024-10-11_Arizona State_Michigan
2024-10-11,Non-Conference,,Boston College,/reports/team/Boston-College/9,3,Michigan State,/reports/team/Michigan-State/32,0,,/box/final/20241011/bc_/msu/,/box/metrics.php?gd=100810,Friday,2024-10-11_Michigan State_Boston College
2024-10-11,Non-Conference,,Rensselaer,/reports/team/Rensselaer/48,6,Canisius,/reports/team/Canisius/13,3,,/box/final/20241011/ren/cns/,/box/metrics.php?gd=100102,Friday,2024-10-11_Canisius_Rensselaer
2024-10-11,Non-Conference,,Niagara,/reports/team/Niagara/39,2,Clarkson,/reports/team/Clarkson/14,4,,/box/final/20241011/nia/clk/,/box/metrics.php?gd=100473,Friday,2024-10-11_Clarkson_Niagara
2024-10-11,Non-Conference,,Sacred Heart,/reports/team/Sacred-Heart/51,5,Colgate,/reports/team/Colgate/15,6,ot,/box/final/20241011/sac/clg/,/box/metrics.php?gd=100601,Friday,2024-10-11_Colgate_Sacred Heart
2024-10-11,Non-Conference,,Northern Michigan,/reports/team/Northern-Michigan/42,3,Colorado College,/reports/team/Colorado-College/16,4,ot,/box/final/20241011/nmu/cc_/,/box/metrics.php?gd=100347,Friday,2024-10-11_Colorado College_Northern Michigan
2024-10-11,Non-Conference,,Connecticut,/reports/team/Connecticut/17,3,Holy Cross,/reports/team/Holy-Cross/23,4,,/box/final/20241011/con/hcr/,/box/metrics.php?gd=100925,Friday,2024-10-11_Holy Cross_Connecticut
2024-10-11,Non-Conference,,Union,/reports/team/Union/54,4,Stonehill,/reports/team/Stonehill/422,2,,/box/final/20241011/uni/stn/,/box/metrics.php?gd=100195,Friday,2024-10-11_Stonehill_Union
2024-10-11,Non-Conference,,American Intl,/reports/team/American-Intl/5,3,Ohio State,/reports/team/Ohio-State/44,3,ot,/box/final/20241011/aic/osu/,/box/metrics.php?gd=100673,Friday,2024-10-11_Ohio State_American Int'l
2024-10-11,Non-Conference,,Notre Dame,/reports/team/Notre-Dame/43,4,St Lawrence,/reports/team/St-Lawrence/53,1,,/box/final/20241011/ndm/stl/,/box/metrics.php?gd=100785,Friday,2024-10-11_St. Lawrence_Notre Dame
2024-10-11,Non-Conference,,Ferris State,/reports/team/Ferris-State/21,1,Western Michigan,/reports/team/Western-Michigan/57,4,,/box/final/20241011/fsu/wmu/,/box/metrics.php?gd=100501,Friday,2024-10-11_Western Michigan_Ferris State
2024-10-11,Non-Conference,,Lindenwood,/reports/team/Lindenwood/433,4,Wisconsin,/reports/team/Wisconsin/58,2,,/box/final/20241011/lin/wis/,/box/metrics.php?gd=99914,Friday,2024-10-11_Wisconsin_Lindenwood
2024-10-11,Non-Conference,,Vermont,/reports/team/Vermont/55,5,St Thomas,/reports/team/St-Thomas/63,5,ot,/box/final/20241011/ver/stt/,/box/metrics.php?gd=100806,Friday,2024-10-11_St. Thomas_Vermont
2024-10-11,Non-Conference,,Alaska Anchorage,/reports/team/Alaska-Anchorage/3,2,Miami,/reports/team/Miami/30,3,,/box/final/20241011/aka/mia/,/box/metrics.php?gd=99984,Friday,2024-10-11_Miami_Alaska-Anchorage
