City,State_Province,Country,Player_Count,Latitude,Longitude
Rockville Centre,New York,USA,1,40.65871380000001,-73.6412406
Roseau,Minnesota,USA,1,48.8460926,-95.762766
Rosemount,Minnesota,USA,3,44.7394103,-93.12577230000001
Sabile,Latvia,Latvia,1,57.0455148,22.572954
Saline,Michigan,USA,1,42.1667072,-83.7816075
San Diego,California,USA,5,32.715738,-117.1610838
San Jose,California,USA,3,37.33874,-121.8852525
Saskatoon,Saskatchewan,Canada,2,52.157902,-106.6701577
Sault Ste. Marie,Ontario,Canada,1,46.5136494,-84.33575259999999
Scottsdale,Arizona,USA,1,33.4948764,-111.9216734
Seinäjoki,Finland,Finland,1,62.787735,22.8504337
Sewell,New Jersey,USA,1,39.7662167,-75.1441926
Sherwood,Oregon,USA,1,45.3569341,-122.8410659
Skaneateles,New York,USA,2,42.947011,-76.42910169999999
Smithtown,New York,USA,1,40.854906,-73.1954295
South Lyon,Michigan,USA,1,42.46059,-83.6516063
Southington,Connecticut,USA,1,41.5964869,-72.8776013
Southlake,Texas,USA,1,32.9412363,-97.1341783
Springfield,Massachusetts,USA,1,42.1013104,-72.58927419999999
St-François-de-Madawaska,New Brunswick,Canada,1,47.2479181,-68.7133532
St. Albert,Alberta,Canada,2,53.6539037,-113.6292701
St. Catharines,Ontario,Canada,2,43.1593745,-79.2468626
St. Cloud,Minnesota,USA,1,45.5579451,-94.16324039999999
St. John's,Newfoundland and Labrador,Canada,1,47.5556097,-52.7452511
St. Louis,Missouri,USA,2,38.6270025,-90.19940419999999
St. Paul,Minnesota,USA,1,44.9537029,-93.0899578
St. Petersburg,Russia,Russia,1,59.9310584,30.3609097
Stacy,Minnesota,USA,1,45.3980205,-92.9874404
Stamford,Connecticut,USA,1,41.0527986,-73.5394821
Staten Island,New York,USA,1,40.5795317,-74.1502007
Stillwater,Minnesota,USA,1,45.056004,-92.80884429999999
Stockholm,Sweden,Sweden,6,59.3327036,18.0656255
Stockhom,Sweden,Sweden,1,59.3327036,18.0656255
Stratham,New Hampshire,USA,1,43.0228677,-70.9163873
Sudbury,Massachusetts,USA,1,42.3834278,-71.4161725
Sundsvall,Sweden,Sweden,2,62.390811,17.306927
Surrey,British Columbia,Canada,1,49.1913466,-122.8490125
Sussex,Wisconsin,USA,1,43.1336141,-88.2095451
Tewksbury,Massachusetts,USA,1,42.6106478,-71.23422479999999
Thousand Oaks,California,USA,1,34.1761133,-118.8487793
