Team,Allowed_within_1s,Allowed_within_2s,Allowed_within_3s,Allowed_within_4s,Allowed_within_5s,Allowed_within_6s,Allowed_within_7s,Allowed_within_8s,Allowed_within_9s,Allowed_within_10s,Total_Goals_Allowed,Allowed_within_1s_pct,Allowed_within_2s_pct,Allowed_within_3s_pct,Allowed_within_4s_pct,Allowed_within_5s_pct,Allowed_within_6s_pct,Allowed_within_7s_pct,Allowed_within_8s_pct,Allowed_within_9s_pct,Allowed_within_10s_pct,Total_Goals,Scored_within_1s,Scored_within_1s_pct,Scored_within_2s,Scored_within_2s_pct,Scored_within_3s,Scored_within_3s_pct,Scored_within_4s,Scored_within_4s_pct,Scored_within_5s,Scored_within_5s_pct,Scored_within_6s,Scored_within_6s_pct,Scored_within_7s,Scored_within_7s_pct,Scored_within_8s,Scored_within_8s_pct,Scored_within_9s,Scored_within_9s_pct,Scored_within_10s,Scored_within_10s_pct
Harvard,0,0,1,1,2,3,5,6,7,7,53,0.0,0.0,0.018867924528301886,0.018867924528301886,0.03773584905660377,0.05660377358490566,0.09433962264150944,0.11320754716981132,0.1320754716981132,0.1320754716981132,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0196078431372549,3.0,0.058823529411764705,3.0,0.058823529411764705,4.0,0.0784313725490196,4.0,0.0784313725490196,7.0,0.13725490196078433
Holy Cross,0,0,0,2,2,5,6,8,8,9,60,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.08333333333333333,0.1,0.13333333333333333,0.13333333333333333,0.15,78.0,0.0,0.0,1.0,0.01282051282051282,2.0,0.02564102564102564,4.0,0.05128205128205128,5.0,0.0641025641025641,5.0,0.0641025641025641,7.0,0.08974358974358974,7.0,0.08974358974358974,8.0,0.10256410256410256,9.0,0.11538461538461539
Lake Superior,0,1,1,1,2,3,4,6,8,8,78,0.0,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.02564102564102564,0.038461538461538464,0.05128205128205128,0.07692307692307693,0.10256410256410256,0.10256410256410256,66.0,1.0,0.015151515151515152,1.0,0.015151515151515152,1.0,0.015151515151515152,2.0,0.030303030303030304,3.0,0.045454545454545456,4.0,0.06060606060606061,5.0,0.07575757575757576,6.0,0.09090909090909091,7.0,0.10606060606060606,8.0,0.12121212121212122
Lindenwood,0,0,0,1,1,1,1,3,7,10,65,0.0,0.0,0.0,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.046153846153846156,0.1076923076923077,0.15384615384615385,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0425531914893617,2.0,0.0425531914893617,2.0,0.0425531914893617,2.0,0.0425531914893617,2.0,0.0425531914893617
Long Island,0,0,0,0,0,0,0,1,2,3,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.03225806451612903,0.04838709677419355,78.0,0.0,0.0,2.0,0.02564102564102564,3.0,0.038461538461538464,3.0,0.038461538461538464,4.0,0.05128205128205128,8.0,0.10256410256410256,10.0,0.1282051282051282,11.0,0.14102564102564102,13.0,0.16666666666666666,14.0,0.1794871794871795
Maine,0,0,0,1,2,4,5,7,9,9,40,0.0,0.0,0.0,0.025,0.05,0.1,0.125,0.175,0.225,0.225,76.0,0.0,0.0,1.0,0.013157894736842105,1.0,0.013157894736842105,1.0,0.013157894736842105,1.0,0.013157894736842105,1.0,0.013157894736842105,2.0,0.02631578947368421,3.0,0.039473684210526314,4.0,0.05263157894736842,7.0,0.09210526315789473
Mass. Lowell,0,0,0,1,4,4,5,6,8,10,92,0.0,0.0,0.0,0.010869565217391304,0.043478260869565216,0.043478260869565216,0.05434782608695652,0.06521739130434782,0.08695652173913043,0.10869565217391304,,,,,,,,,,,,,,,,,,,,,
Massachusetts,2,2,2,2,2,3,3,4,4,5,69,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.043478260869565216,0.043478260869565216,0.057971014492753624,0.057971014492753624,0.07246376811594203,83.0,0.0,0.0,0.0,0.0,1.0,0.012048192771084338,2.0,0.024096385542168676,3.0,0.03614457831325301,5.0,0.060240963855421686,5.0,0.060240963855421686,6.0,0.07228915662650602,6.0,0.07228915662650602,8.0,0.0963855421686747
Mercyhurst,0,0,1,3,4,5,8,10,14,18,116,0.0,0.0,0.008620689655172414,0.02586206896551724,0.034482758620689655,0.04310344827586207,0.06896551724137931,0.08620689655172414,0.1206896551724138,0.15517241379310345,65.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.03076923076923077,3.0,0.046153846153846156,3.0,0.046153846153846156,3.0,0.046153846153846156,3.0,0.046153846153846156,3.0,0.046153846153846156,3.0,0.046153846153846156
Merrimack,0,0,0,0,0,0,0,0,1,2,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.028169014084507043,60.0,1.0,0.016666666666666666,1.0,0.016666666666666666,2.0,0.03333333333333333,2.0,0.03333333333333333,4.0,0.06666666666666667,4.0,0.06666666666666667,4.0,0.06666666666666667,5.0,0.08333333333333333,7.0,0.11666666666666667,7.0,0.11666666666666667
